employee_id,imip_id,name,gender,place_of_birth,date_of_birth,marital_status,tax_status,religion,nationality,blood_type,education,ktp_no,kartu_keluarga_no,npwp,phone_number,address,city,spouse_name,child_name_1,child_name_2,child_name_3,emergency_contact_name,emergency_contact_phone,employment_status,status,branch,branch_id,division,department,section,job_title,grade,position_grade,group_job_title,direct_report,locality_status,point_of_hire,point_of_origin,schedule_type,first_join_date_merdeka,transfer_merdeka,first_join_date,join_date,end_contract,bank_name,account_name,account_no,bpjs_tk,bpjs_kes,status_bpjs_kes,insurance_endorsement,insurance_owlexa,insurance_fpg
MTI12345,IMIP77889,Andi Saputra,Male,Jakarta,1990-04-12,Married,TK0,Islam,Indonesia,O,S1,3174XXXXXXXX,3275XXXXXXXX,09.123.456.7-890.000,081234567890,Jl. Mawar No. 12,Jakarta Barat,Siti Aminah,Budi,Sari,,Rudi,081298765432,active,active,Morowali,MTI-SITE-01,ICT,Technical Service,IT Support,ICT Supervisor,10,Supervisor,System Analyst,Adi Wijaya,Local,Jakarta,Surabaya,Shift,2020-01-15,,2020-01-15,2020-02-01,,BRI,Andi Saputra,1234567890,12345678901,98765432100,Active,0,1,0
MTI20001,IMIP20001,Rudi Hartono,Male,Surabaya,1988-06-20,Married,TK0,Islam,Indonesia,A,S1,3510XXXXXXXX,3510YYYYYYYY,09.111.222.3-444.000,081111111111,Jl. Kenanga No. 3,Surabaya,Sri Wahyuni,Dewi,,,Andi,081200000001,active,active,Morowali,MTI-SITE-01,ICT,Technical Service,IT Support,IT Officer,8,Staff,Support Analyst,Bambang Santoso,Local,Surabaya,Surabaya,Shift,,,2018-05-01,2018-06-01,,BCA,Rudi Hartono,1111111111,10000000001,90000000001,Active,0,1,0
MTI20002,IMIP20002,Sri Lestari,Female,Yogyakarta,1992-11-05,Single,TK0,Islam,Indonesia,B,S1,3401XXXXXXXX,3401YYYYYYYY,09.222.333.4-555.000,082222222222,Jl. Melati No. 7,Yogyakarta,,, , ,Nina,081200000002,probation,active,Morowali,MTI-SITE-01,HR,Human Resources,Recruitment,HR Assistant,8,Staff,HR Support,Wahyu Prasetyo,Local,Yogyakarta,Yogyakarta,Shift,,,2023-09-01,2023-10-01,,Mandiri,Sri Lestari,2222222222,10000000002,90000000002,Active,1,0,0
MTI20003,IMIP20003,Bambang Nugroho,Male,Bandung,1985-03-12,Married,K1,Islam,Indonesia,O,S2,3273XXXXXXXX,3273YYYYYYYY,09.333.444.5-666.000,083333333333,Jl. Anggrek No. 10,Bandung,Rina Marlina,Andi,,,Tono,081200000003,contract,active,Morowali,MTI-SITE-02,Engineering,Maintenance,Mechanical,Maintenance Supervisor,11,Supervisor,Mechanical Lead,Dedi Irawan,Local,Bandung,Bandung,Roster 6:2,,,2019-02-01,2019-03-01,2026-03-01,BRI,Bambang Nugroho,3333333333,10000000003,90000000003,Active,1,1,0
MTI20004,IMIP20004,Dewi Kusuma,Female,Jakarta,1991-08-30,Married,K1,Islam,Indonesia,AB,S1,3174AAAAAAA,3174BBBBBBB,09.444.555.6-777.000,084444444444,Jl. Dahlia No. 22,Jakarta,Putra Aditya,Bintang,,,Sari,081200000004,active,active,Morowali,MTI-SITE-02,Finance,Finance,Payroll,Payroll Officer,9,Staff,Finance Staff,Rudi Hartono,Local,Jakarta,Jakarta,Shift,,,2021-01-10,2021-02-01,,BNI,Dewi Kusuma,4444444444,10000000004,90000000004,Active,0,1,1
MTI20005,IMIP20005,Agus Salim,Male,Medan,1987-12-01,Married,K2,Islam,Indonesia,B,S1,1271CCCCCCC,1271DDDDDDD,09.555.666.7-888.000,085555555555,Jl. Flamboyan No. 5,Medan,Putri Sari,Adi,,,Bagus,081200000005,active,active,Morowali,MTI-SITE-03,ICT,Technical Service,Network,Network Engineer,10,Supervisor,Network Lead,Slamet Widodo,Local,Medan,Medan,Roster 6:2,,,2020-03-01,2020-04-01,,BCA,Agus Salim,5555555555,10000000005,90000000005,Active,0,1,0
MTI20006,IMIP20006,Putri Ayu,Female,Semarang,1994-09-18,Single,TK0,Islam,Indonesia,A,S1,3372EEEEEEE,3372FFFFFFF,09.666.777.8-999.000,086666666666,Jl. Mawar No. 9,Semarang,,, , ,Rudi,081200000006,probation,active,Morowali,MTI-SITE-03,HR,Human Resources,Training,Training Staff,8,Staff,HR Staff,Nita Wulandari,Local,Semarang,Semarang,Shift,,,2024-07-01,2024-07-15,,Mandiri,Putri Ayu,6666666666,10000000006,90000000006,Active,0,0,1
MTI20007,IMIP20007,Andika Pratama,Male,Malang,1989-02-27,Married,K1,Islam,Indonesia,O,S1,3573GGGGGGG,3573HHHHHHH,09.777.888.9-000.000,087777777777,Jl. Teratai No. 4,Malang,Fitri Aulia,Hanif,,,Dian,081200000007,non_active,inactive,Morowali,MTI-SITE-01,Engineering,Maintenance,Electrical,Electrical Technician,8,Staff,Maintenance Tech,Made Wirawan,Local,Malang,Malang,Shift,,,2017-04-01,2017-05-01,,BRI,Andika Pratama,7777777777,10000000007,90000000007,Inactive,0,0,0
MTI20008,IMIP20008,Fitri Aulia,Female,Palembang,1993-04-10,Married,K1,Islam,Indonesia,AB,S1,1671IIIIIII,1671JJJJJJJ,09.888.999.0-111.000,088888888888,Jl. Cendana No. 6,Palembang,Andika Pratama,Naila,,,Rina,081200000008,active,active,Morowali,MTI-SITE-01,HR,Human Resources,CompBen,HR Officer,9,Staff,HR Officer,Rudi Hartono,Local,Palembang,Palembang,Shift,,,2022-06-01,2022-07-01,,BCA,Fitri Aulia,8888888888,10000000008,90000000008,Active,1,0,1
MTI20009,IMIP20009,Dodi Saputra,Male,Balikpapan,1990-10-22,Single,TK0,Islam,Indonesia,B,S1,6471KKKKKKK,6471LLLLLLL,09.999.000.1-222.000,089999999999,Jl. Kemuning No. 2,Balikpapan,,, , ,Arman,081200000009,active,active,Morowali,MTI-SITE-02,ICT,Technical Service,Helpdesk,Helpdesk Officer,8,Staff,Helpdesk Support,Agus Salim,Local,Balikpapan,Balikpapan,Shift,,,2023-03-01,2023-03-15,,Mandiri,Dodi Saputra,9999999999,10000000009,90000000009,Active,0,1,0
MTI20010,IMIP20010,Rina Marlina,Female,Bekasi,1991-05-14,Married,K1,Islam,Indonesia,A,S1,3275MMMMMMM,3275NNNNNNN,09.101.112.1-333.000,081000000000,Jl. Anggrek No. 20,Bekasi,Dedi Irawan,Salsa,,,Maya,081200000010,active,active,Morowali,MTI-SITE-03,Finance,Finance,AP,Account Payable,9,Staff,Finance Staff,Dewi Kusuma,Local,Bekasi,Bekasi,Shift,,,2020-08-01,2020-09-01,,BNI,Rina Marlina,1010101010,10000000010,90000000010,Active,1,1,1
